Order ID,Order Date,Customer Name,Country,State,City,Region,Segment,Ship Mode,Category,Sub-Category,Product Name,Discount,Sales,Profit,Quantity,Feedback?
AZ-2011-4827146,2011-01-11,Rizky Hidayat,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy,Office Supplies,Storage,Spidol Permanen,0.0,102000,19598,2,False
AZ-2011-6439906,2011-01-11,Bagus Setiawan,Indonesia,Sumatera Selatan,Palembang,Barat,Consumer,Economy,Furniture,Tables,Rak Penyimpanan,0.6,1580000,303978,2,True
AZ-2011-6439906,2011-01-11,Ahmad Fauzi,Indonesia,Sumatera Selatan,Palembang,Barat,Consumer,Economy,Office Supplies,Labels,Pulpen Gel,0.0,162500,37131,5,True
AZ-2011-7053593,2011-01-11,Ahmad Fauzi,Indonesia,Kalimantan Timur,Balikpapan,Timur,Consumer,Immediate,Furniture,Chairs,Meja Lipat,0.0,6975000,626965,3,True
AZ-2011-7053593,2011-01-11,Ahmad Fauzi,Indonesia,Kalimantan Timur,Balikpapan,Timur,Consumer,Immediate,Office Supplies,Art,Kertas HVS A4,0.0,35000,7898,2,False
AZ-2011-5702370,2011-01-12,Ahmad Fauzi,Indonesia,Jawa Barat,Bogor,Barat,Corporate,Economy,Furniture,Bookcases,Meja Kerja,0.1,7087500,680419,5,True
AZ-2011-5702370,2011-01-12,Farhan Akbar,Indonesia,Sumatera Selatan,Palembang,Barat,Corporate,Economy,Office Supplies,Art,Pulpen Gel,0.0,147500,25398,5,False
AZ-2011-5702370,2011-01-12,Bagus Setiawan,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Corporate,Economy,Office Supplies,Binders,Map Plastik,0.0,108000,14190,2,False
AZ-2011-5702370,2011-01-12,Rizky Hidayat,Indonesia,Jawa Timur,Surabaya,Tengah,Corporate,Economy,Technology,Machines,Keyboard USB,0.0,670000,102802,2,True
AZ-2011-9927716,2011-01-12,Citra Ayuningtyas,Indonesia,Jawa Barat,Depok,Barat,Home Office,Economy,Furniture,Chairs,Lemari Arsip,0.0,1875000,178599,5,False
AZ-2011-2222024,2011-01-12,Andi Pratama,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Priority,Office Supplies,Paper,Map Plastik,0.5,30000,5078,2,True
BN-2011-4913858,2011-01-13,Fajar Nugroho,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Economy,Office Supplies,Binders,Buku Tulis A5,0.5,49500,5182,3,True
BN-2011-4913858,2011-01-13,Rina Kurnia,Indonesia,Sumatera Utara,Medan,Barat,Consumer,Economy,Office Supplies,Labels,Binder A4,0.5,73000,9548,4,True
BN-2011-4913858,2011-01-13,Rizky Hidayat,Indonesia,Sulawesi Selatan,Makassar,Timur,Consumer,Economy,Office Supplies,Paper,Pulpen Gel,0.5,31500,3886,2,False
BN-2011-4913858,2011-01-13,Bagus Setiawan,Indonesia,Kalimantan Timur,Balikpapan,Timur,Consumer,Economy,Office Supplies,Storage,Map Plastik,0.5,48000,5335,2,False
BN-2011-2807470,2011-01-13,Nabila Putri,Indonesia,Sumatera Selatan,Palembang,Barat,Consumer,Economy,Office Supplies,Art,Spidol Permanen,0.5,90000,13856,5,True
AZ-2011-5960662,2011-01-14,Andi Pratama,Indonesia,Jawa Barat,Bekasi,Barat,Home Office,Economy,Office Supplies,Paper,Pulpen Gel,0.0,143000,35246,11,False
AZ-2011-5960662,2011-01-14,Andi Pratama,Indonesia,Jawa Tengah,Semarang,Tengah,Home Office,Economy,Technology,Machines,Mouse Wireless,0.0,2130000,208781,3,False
AZ-2011-5960662,2011-01-14,Budi Santoso,Indonesia,Sumatera Selatan,Palembang,Barat,Home Office,Economy,Technology,Phones,Headset,0.0,810000,174755,6,False
AZ-2011-7675351,2011-01-15,Nabila Putri,Indonesia,Jawa Timur,Surabaya,Tengah,Corporate,Economy Plus,Office Supplies,Appliances,Buku Tulis A5,0.1,42750,3939,1,True
AZ-2011-7675351,2011-01-15,Farhan Akbar,Indonesia,Sulawesi Selatan,Makassar,Timur,Corporate,Economy Plus,Office Supplies,Labels,Spidol Permanen,0.0,65000,13488,2,True
AZ-2011-7675351,2011-01-15,Rina Kurnia,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Corporate,Economy Plus,Office Supplies,Paper,Map Plastik,0.0,232500,42726,5,True
AZ-2011-7675351,2011-01-15,Nurul Hidayah,Indonesia,DKI Jakarta,Jakarta,Barat,Corporate,Economy Plus,Office Supplies,Supplies,Pulpen Gel,0.0,300000,3493,2,False
AZ-2011-7675351,2011-01-15,Yusuf Maulana,Indonesia,Sumatera Utara,Medan,Barat,Corporate,Economy Plus,Technology,Copiers,Keyboard USB,0.0,920000,209795,2,True
BN-2011-3770060,2011-01-17,Dewi Lestari,Indonesia,DKI Jakarta,Jakarta,Barat,Home Office,Economy,Office Supplies,Labels,Pulpen Gel,0.5,72000,11669,3,False
AZ-2011-7419210,2011-01-18,Dewi Lestari,Indonesia,Bali,Denpasar,Timur,Corporate,Priority,Office Supplies,Fasteners,Pulpen Gel,0.0,320000,46456,8,True
AZ-2011-1816950,2011-01-18,Bagus Setiawan,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy Plus,Office Supplies,Binders,Map Plastik,0.5,17750,1538,1,False
AZ-2011-3059419,2011-01-19,Unknown,Indonesia,DKI Jakarta,Jakarta,Barat,Corporate,Priority,Office Supplies,Envelopes,Kertas HVS A4,0.0,111000,22882,3,False
AZ-2011-5342265,2011-01-19,Budi Santoso,Indonesia,Jawa Barat,Bandung,Barat,Home Office,Priority,Office Supplies,Binders,Spidol Permanen,0.0,30000,2769,3,True
AZ-2011-5342265,2011-01-19,Agus Saputra,Indonesia,Jawa Timur,Surabaya,Tengah,Home Office,Priority,Office Supplies,Storage,Map Plastik,0.4,97200,14622,3,False
AZ-2011-2002251,2011-01-20,Andi Pratama,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy,Office Supplies,Art,Binder A4,0.0,52000,10037,2,True
AZ-2011-5357101,2011-01-21,Unknown,Indonesia,Jawa Timur,Surabaya,Tengah,Consumer,Economy,Technology,Accessories,Headset,0.0,660000,163474,2,False
AZ-2011-2245674,2011-01-22,Rizky Hidayat,Indonesia,Jawa Barat,Bekasi,Barat,Home Office,Economy,Office Supplies,Binders,Buku Tulis A5,0.0,88000,21814,2,True
AZ-2011-2245674,2011-01-22,Dewi Lestari,Indonesia,Jawa Timur,Malang,Tengah,Home Office,Economy,Office Supplies,Storage,Buku Tulis A5,0.0,82500,14917,5,True
AZ-2011-8034411,2011-01-22,Fajar Nugroho,Indonesia,Jawa Barat,Bandung,Barat,Home Office,Economy,Furniture,Bookcases,Rak Penyimpanan,0.0,2350000,303711,2,True
AZ-2011-8034411,2011-01-22,Andi Pratama,Indonesia,Jawa Barat,Bogor,Barat,Home Office,Economy,Office Supplies,Art,Buku Tulis A5,0.7,10000,1541,1,True
AZ-2011-8034411,2011-01-22,Agus Saputra,Indonesia,Sumatera Selatan,Palembang,Barat,Home Office,Economy,Office Supplies,Storage,Map Plastik,0.4,111300,14682,7,True
AZ-2011-6684426,2011-01-24,Nabila Putri,Indonesia,Jawa Tengah,Semarang,Tengah,Home Office,Economy Plus,Office Supplies,Art,Spidol Permanen,0.0,28500,5929,1,False
BN-2011-7883641,2011-01-24,Nabila Putri,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Priority,Furniture,Chairs,Meja Lipat,0.6,620000,93588,1,True
BN-2011-7883641,2011-01-24,Bagus Setiawan,Indonesia,Jawa Timur,Malang,Tengah,Consumer,Priority,Furniture,Chairs,Rak Penyimpanan,0.6,540000,133495,3,False
BN-2011-7883641,2011-01-24,Citra Ayuningtyas,Indonesia,Bali,Denpasar,Timur,Consumer,Priority,Office Supplies,Fasteners,Spidol Permanen,0.0,106000,10346,4,True
BN-2011-7883641,2011-01-24,Rizky Hidayat,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Priority,Office Supplies,Labels,Kertas HVS A4,0.0,40000,9870,5,True
BN-2011-7883641,2011-01-24,Fajar Nugroho,Indonesia,Sumatera Selatan,Palembang,Barat,Consumer,Priority,Office Supplies,Paper,Map Plastik,0.0,94500,19028,3,False
AZ-2011-4205736,2011-01-25,Nurul Hidayah,Indonesia,Sumatera Utara,Medan,Barat,Corporate,Economy,Furniture,Furnishings,Rak Penyimpanan,0.0,325000,53455,1,True
AZ-2011-4205736,2011-01-25,Nabila Putri,Indonesia,Jawa Timur,Surabaya,Tengah,Corporate,Economy,Office Supplies,Binders,Spidol Permanen,0.0,185000,33326,10,False
AZ-2011-5010109,2011-01-25,Yusuf Maulana,Indonesia,Sulawesi Selatan,Makassar,Timur,Consumer,Economy,Office Supplies,Art,Spidol Permanen,0.0,311500,69215,7,True
AZ-2011-201891,2011-01-26,Yusuf Maulana,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy,Office Supplies,Labels,Sticy Notes,0.0,73500,16066,3,False
AZ-2011-5708655,2011-01-26,Agus Saputra,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Office Supplies,Binders,Binder A4,0.0,44000,4687,1,False
AZ-2011-5708655,2011-01-26,Siti Aisyah,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Office Supplies,Binders,Kertas HVS A4,0.0,38000,7741,4,False
AZ-2011-5708655,2011-01-26,Bagus Setiawan,Indonesia,Jawa Barat,Bandung,Barat,Consumer,Economy,Technology,Accessories,Webcam HD,0.0,915000,129207,3,True
BN-2011-6722454,2011-01-26,Fajar Nugroho,Indonesia,Jawa Barat,Bandung,Barat,Corporate,Economy,Technology,Copiers,Mouse Wireless,0.5,135000,26024,3,True
BN-2011-486854,2011-01-28,Bagus Setiawan,Indonesia,Jawa Barat,Bandung,Barat,Consumer,Economy,Office Supplies,Storage,Buku Tulis A5,0.1,41850,5800,1,True
AZ-2011-2825684,2011-02-01,Nurul Hidayah,Indonesia,Sulawesi Selatan,Makassar,Timur,Consumer,Economy,Office Supplies,Binders,Kertas HVS A4,0.0,61500,11780,3,False
AZ-2011-2825684,2011-02-01,Yusuf Maulana,Indonesia,Jawa Timur,Surabaya,Tengah,Consumer,Economy,Office Supplies,Binders,Kertas HVS A4,0.0,109000,84216,2,True
AZ-2011-494581,2011-02-01,Ahmad Fauzi,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Economy,Office Supplies,Art,Kertas HVS A4,0.0,111000,17618,3,True
AZ-2011-838467,2011-02-02,Yusuf Maulana,Indonesia,Jawa Barat,Bandung,Barat,Corporate,Priority,Office Supplies,Paper,Binder A4,0.5,13250,2382,1,False
AZ-2011-838467,2011-02-02,Fajar Nugroho,Indonesia,Jawa Barat,Bekasi,Barat,Corporate,Priority,Technology,Copiers,Webcam HD,0.5,342500,85591,1,True
AZ-2011-838467,2011-02-02,Citra Ayuningtyas,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Corporate,Priority,Technology,Phones,Webcam HD,0.5,560000,93908,8,True
AZ-2011-4987681,2011-02-02,Ilham Ramadhan,Indonesia,DKI Jakarta,Jakarta,Barat,Corporate,Economy Plus,Office Supplies,Supplies,Buku Tulis A5,0.0,42000,7693,1,True
AZ-2011-4987681,2011-02-02,Budi Santoso,Indonesia,Kalimantan Timur,Balikpapan,Timur,Corporate,Economy Plus,Technology,Phones,Mouse Wireless,0.1,607500,70079,1,True
AZ-2011-4614904,2011-02-02,Nabila Putri,Indonesia,Sumatera Selatan,Palembang,Barat,Corporate,Priority,Office Supplies,Art,Sticky Notes,0.0,17000,2979,2,True
AZ-2011-7043718,2011-02-02,Yusuf Maulana,Indonesia,Jawa Barat,Depok,Barat,Consumer,Economy Plus,Furniture,Bookcases,Rak Penyimpanan,0.0,4250000,867629,2,False
AZ-2011-7043718,2011-02-02,Andi Pratama,Indonesia,Sulawesi Selatan,Makassar,Timur,Consumer,Economy Plus,Furniture,Chairs,Kursi Kantor,0.2,1840000,181697,4,True
AZ-2011-7043718,2011-02-02,Ahmad Fauzi,Indonesia,Bali,Denpasar,Timur,Consumer,Economy Plus,Office Supplies,Art,Buku Tulis A5,0.0,20000,2977,1,True
AZ-2011-7043718,2011-02-02,Rizky Hidayat,Indonesia,Jawa Timur,Unknown,Tengah,Consumer,Economy Plus,Office Supplies,Art,Kertas HVS A4,0.0,126000,29264,4,False
AZ-2011-4696725,2011-02-02,Ilham Ramadhan,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Priority,Technology,Phones,Flashdisk 64 GB,0.1,306000,45164,2,True
BN-2011-2468159,2011-02-02,Bagus Setiawan,Indonesia,Sulawesi Selatan,Makassar,Timur,Consumer,Economy,Office Supplies,Paper,Spidol Permanen,0.5,125000,23458,5,False
BN-2011-2468159,2011-02-02,Rina Kurnia,Indonesia,Kalimantan Timur,Balikpapan,Timur,Consumer,Economy,Technology,Accessories,Keyboard USB,0.5,265000,33330,2,False
BN-2011-2468159,2011-02-02,Nabila Putri,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Technology,Copiers,Mouse Wireless,0.65,808500,104541,6,False
BN-2011-2468159,2011-02-02,Fajar Nugroho,Indonesia,Jawa Barat,Depok,Barat,Consumer,Economy,Technology,Machines,Keyboard USB,0.65,603750,88520,3,True
BN-2011-9336144,2011-02-02,Putri Maharani,Indonesia,Jawa Timur,Malang,Tengah,Corporate,Immediate,Office Supplies,Storage,Kertas HVS A4,0.1,96300,21079,2,False
BN-2011-9336144,2011-02-02,Rina Kurnia,Indonesia,Jawa Timur,Surabaya,Tengah,Corporate,Immediate,Technology,Copiers,Keyboard USB,0.0,210000,26965,1,False
BN-2011-7087921,2011-02-03,Bagus Setiawan,Indonesia,Jawa Tengah,Semarang,Tengah,Home Office,Economy Plus,Office Supplies,Art,Sticky Notes,0.5,75000,17861,6,False
AZ-2011-6835828,2011-02-04,Rizky Hidayat,Indonesia,Bali,Denpasar,Timur,Consumer,Economy,Office Supplies,Storage,Map Plastik,0.1,114750,11722,3,True
AZ-2011-2397035,2011-02-07,Andi Pratama,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy,Office Supplies,Art,Binder A4,0.0,92000,17332,4,False
AZ-2011-2397035,2011-02-07,Siti Aisyah,Indonesia,Jawa Barat,Bogor,Barat,Consumer,Economy,Office Supplies,Binders,Kertas HVS A4,0.0,68000,12717,4,True
AZ-2011-2397035,2011-02-07,Ahmad Fauzi,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Technology,Machines,Mouse Wireless,0.15,518500,58824,2,True
AZ-2011-9421435,2011-02-07,Rizky Hidayat,Indonesia,Bali,Denpasar,Timur,Corporate,Economy,Office Supplies,Labels,Pulpen Gel,0.0,117000,18642,3,True
AZ-2011-2956456,2011-02-08,Farhan Akbar,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy,Office Supplies,Fasteners,Sticky Notes,0.0,78000,17032,6,False
AZ-2011-9107304,2011-02-09,Ilham Ramadhan,Indonesia,Jawa Barat,Depok,Barat,Home Office,Economy,Furniture,Bookcases,Meja Lipat,0.0,3225000,451254,3,True
AZ-2011-9107304,2011-02-09,Ahmad Fauzi,Indonesia,Sumatera Selatan,Palembang,Barat,Home Office,Economy,Office Supplies,Art,Spidol Permanen,0.0,43000,8763,2,False
AZ-2011-9107304,2011-02-09,Budi Santoso,Indonesia,Jawa Tengah,Semarang,Tengah,Home Office,Economy,Office Supplies,Binders,Map Plastik,0.0,54000,8406,3,False
AZ-2011-9107304,2011-02-09,Nurul Hidayah,Indonesia,Jawa Barat,Bandung,Barat,Home Office,Economy,Office Supplies,Fasteners,Buku Tulis A5,0.0,162000,21454,3,False
AZ-2011-9107304,2011-02-09,Ahmad Fauzi,Indonesia,Jawa Barat,Depok,Barat,Home Office,Economy,Office Supplies,Storage,Kertas HVS A4,0.1,174600,30363,4,False
AZ-2011-2606042,2011-02-09,Citra Ayuningtyas,Indonesia,Sumatera Utara,Medan,Barat,Consumer,Immediate,Office Supplies,Art,Sticky Notes,0.0,185000,45254,5,True
AZ-2011-2606042,2011-02-09,Rina Kurnia,Indonesia,Sumatera Utara,Medan,Barat,Consumer,Immediate,Office Supplies,Binders,Kertas HVS A4,0.0,189000,20618,7,True
AZ-2011-5195846,2011-02-09,Citra Ayuningtyas,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Corporate,Economy,Furniture,Furnishings,Mja Kerja,0.2,2820000,290692,3,True
AZ-2011-5195846,2011-02-09,Yusuf Maulana,Indonesia,Jawa Timur,Malang,Tengah,Corporate,Economy,Office Supplies,Envelopes,Pulpen Gel,0.5,67000,14801,4,False
AZ-2011-5195846,2011-02-09,Yusuf Maulana,Indonesia,Jawa Barat,Bekasi,Barat,Corporate,Economy,Office Supplies,Storage,Buku Tulis A5,0.5,27000,2206,3,True
AZ-2011-7255147,2011-02-10,Budi Santoso,Indonesia,Sumatera Selatan,Palembang,Barat,Corporate,Economy,Furniture,Bookcases,Rak Penyimpanan,0.0,750000,94181,2,False
AZ-2011-7255147,2011-02-10,Ilham Ramadhan,Indonesia,Sumatera Selatan,Palembang,Barat,Corporate,Economy,Office Supplies,Art,Kertas HVS A4,0.0,37500,7976,1,False
AZ-2011-5676694,2011-02-10,Citra Ayuningtyas,Indonesia,Jawa Timur,Malang,Tengah,Corporate,Economy,Furniture,Bookcases,Meja Kerja,0.0,2150000,198157,2,False
AZ-2011-5676694,2011-02-10,Siti Aisyah,Indonesia,Sulawesi Selatan,Makassar,Timur,Corporate,Economy,Office Supplies,Art,Spidol Permanen,0.0,21500,3283,1,False
AZ-2011-819110,2011-02-10,Siti Aisyah,Indonesia,Sulawesi Selatan,Makassar,Timur,Consumer,Economy,Office Supplies,Envelopes,Buku Tulis A5,0.0,180000,37041,4,True
AZ-2011-819110,2011-02-10,Bagus Setiawan,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Technology,Machines,Flashdisk 64 GB,0.15,884000,189207,2,False
BN-2011-3032749,2011-02-10,Budi Santoso,Indonesia,Kalimantan Timur,Balikpapan,Timur,Home Office,Immediate,Office Supplies,Binders,Kertas HVS A4,0.5,121250,18568,5,True
BN-2011-3032749,2011-02-10,Siti Aisyah,Indonesia,Kalimantan Timur,Balikpapan,Timur,Home Office,Immediate,Office Supplies,Storage,Kertas HVS A4,0.6,71200,9549,4,True
AZ-2011-6048331,2011-02-14,Farhan Akbar,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Economy Plus,Office Supplies,Art,Buku Tulis A5,0.0,39000,9562,1,False
AZ-2011-6048331,2011-02-14,Budi Santoso,Indonesia,Jawa Barat,Bandung,Barat,Consumer,Economy Plus,Office Supplies,Storage,Sticky Notes,0.1,14850,2723,1,False
BN-2011-493873,2011-02-15,Nabila Putri,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Furniture,Bookcases,Rak Penyimpanan,0.5,2150000,442749,4,False
BN-2011-493873,2011-02-15,Agus Saputra,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Furniture,Tables,Rak Penyimpanan,0.7,562500,75321,3,True
BN-2011-408191,2011-02-15,Siti Aisyah,Indonesia,DKI Jakarta,Jakarta,Barat,Corporate,Economy,Furniture,Chairs,Meja Kerja,0.2,2680000,304967,2,True
BN-2011-408191,2011-02-15,Putri Maharani,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Corporate,Economy,Furniture,Furnishings,Meja Lipat,0.0,5100000,532961,3,True
BN-2011-307477,2011-02-16,Nabila Putri,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Corporate,Economy Plus,Furniture,Chairs,Lemari Arsip,0.1,8415000,879138,11,False
BN-2011-307477,2011-02-16,Fajar Nugroho,Indonesia,Kalimantan Timur,Balikpapan,Timur,Corporate,Economy Plus,Office Supplies,Appliances,Binder A4,0.1,27000,3105,1,True
BN-2011-307477,2011-02-16,Ilham Ramadhan,Indonesia,Sumatera Selatan,Palembang,Barat,Corporate,Economy Plus,Office Supplies,Art,Buku Tulis A5,0.0,147000,30611,6,False
BN-2011-307477,2011-02-16,Rizky Hidayat,Indonesia,Kalimantan Timur,Balikpapan,Timur,Corporate,Economy Plus,Technology,Phones,Mouse Wireless,0.15,807500,136727,2,False
AZ-2011-8122214,2011-02-18,Budi Santoso,Indonesia,Jawa Tengah,Semarang,Tengah,Corporate,Economy,Office Supplies,Fasteners,Kertas HVS A4,0.0,72000,16933,3,False
AZ-2011-9155070,2011-02-18,Dewi Lestari,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Economy,Office Supplies,Binders,Sticky Notes,0.0,172000,27568,4,False
AZ-2011-9155070,2011-02-18,Dewi Lestari,Indonesia,Jawa Barat,Bandung,Barat,Consumer,Economy,Technology,Machines,Webcam HD,0.15,765000,141226,3,False
AZ-2011-2939440,2011-02-18,Yusuf Maulana,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy Plus,Office Supplies,Fasteners,Spidol Permanen,0.0,52500,6248,5,True
AZ-2011-2939440,2011-02-18,Citra Ayuningtyas,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy Plus,Office Supplies,Fasteners,Buku Tulis A5,0.0,126000,26523,7,False
AZ-2011-2270958,2011-02-21,Siti Aisyah,Indonesia,Jawa Tengah,Semarang,Tengah,Consumer,Economy,Furniture,Tables,Lemari Arsip,0.5,3700000,515644,4,True
AZ-2011-2270958,2011-02-21,Farhan Akbar,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Office Supplies,Art,Map Plastik,0.0,97500,11360,3,False
AZ-2011-2270958,2011-02-21,Ahmad Fauzi,Indonesia,Sumatera Utara,Medan,Barat,Consumer,Economy,Office Supplies,Storage,Buku Tulis A5,0.4,19800,3394,1,True
AZ-2011-2270958,2011-02-21,Farhan Akbar,Indonesia,Jawa Barat,Depok,Barat,Consumer,Economy,Technology,Machines,Mouse Wireless,0.4,210000,34712,1,True
BN-2011-555099,2011-02-21,Agus Saputra,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy,Office Supplies,Fasteners,Sticky Notes,0.0,30000,4428,2,False
BN-2011-555099,2011-02-21,Siti Aisyah,Indonesia,Kalimantan Timur,Balikpapan,Timur,Consumer,Economy,Office Supplies,Storage,Binder A4,0.0,139500,21055,3,True
AZ-2011-8091357,2011-02-22,Rina Kurnia,Indonesia,Jawa Timur,Malang,Tengah,Consumer,Economy,Furniture,Furnishings,Kursi Kantor,0.0,3700000,388920,2,False
AZ-2011-8091357,2011-02-22,Rina Kurnia,Indonesia,Jawa Barat,Bogor,Barat,Consumer,Economy,Office Supplies,Binders,Kertas HVS A4,0.0,112500,13629,3,False
AZ-2011-8091357,2011-02-22,Rina Kurnia,Indonesia,Bali,Denpasar,Timur,Consumer,Economy,Office Supplies,Binders,Spidol Permanen,0.0,175000,42714,5,True
AZ-2011-8091357,2011-02-22,Dewi Lestari,Indonesia,Jawa Tengah,Semarang,Tengah,Consumer,Economy,Office Supplies,Binders,Pulpen Gel,0.0,35000,4801,2,False
AZ-2011-8091357,2011-02-22,Citra Ayuningtyas,Indonesia,Sumatera Utara,Medan,Barat,Consumer,Economy,Technology,Machines,Headset,0.4,945000,222299,3,True
AZ-2011-6186921,2011-02-22,Ilham Ramadhan,Indonesia,Jawa Barat,Depok,Barat,Consumer,Economy Plus,Office Supplies,Binders,Map Plastik,0.0,55000,11507,2,True
BN-2011-5307099,2011-02-22,Fajar Nugroho,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Economy,Technology,Phones,Webcam HD,0.5,532500,67303,3,False
BN-2011-8574171,2011-02-23,Bagus Setiawan,Indonesia,Jawa Timur,Surabaya,Tengah,Corporate,Economy,Furniture,Chairs,Meja Kerja,0.6,1820000,190236,2,True
AZ-2011-8279503,2011-02-24,Rina Kurnia,Indonesia,Jawa Timur,Surabaya,Tengah,Corporate,Economy,Furniture,Bookcases,Meja Lipat,0.0,1625000,225631,5,False
AZ-2011-8279503,2011-02-24,Bagus Setiawan,Indonesia,Jawa Timur,Malang,Tengah,Corporate,Economy,Office Supplies,Binders,Spidol Permanen,0.0,57000,4886,6,False
AZ-2011-8279503,2011-02-24,Rina Kurnia,Indonesia,Kalimantan Timur,Balikpapan,Timur,Corporate,Economy,Technology,Copiers,Flashdisk 64 GB,0.0,1490000,208358,2,False
BN-2011-3728079,2011-02-26,Agus Saputra,Indonesia,DKI Jakarta,Jakarta,Barat,Consumer,Economy,Furniture,Furnishings,Rak Penyimpanan,0.2,8040000,722937,6,True
BN-2011-3728079,2011-02-26,Nurul Hidayah,Indonesia,Jawa Timur,Surabaya,Tengah,Consumer,Economy,Technology,Phones,Mouse Wireless,0.5,240000,44315,3,False
AZ-2011-2777408,2011-03-01,Ilham Ramadhan,Indonesia,Jawa Barat,Bekasi,Barat,Home Office,Economy Plus,Office Supplies,Art,Spidol Permanen,0.0,102000,9046,12,False
